Symbol,Date,Open,High,Low,Close,percent_change,Volume
LBBL,7/15/2022,340.1,347.7,337,341,-0.87,21063
LBBL,7/14/2022,344,350,332,344,1.78,52442
LBBL,7/13/2022,321,338.6,316,338,7.3,51519
LBBL,07/12/2022,321,329.4,310,315,0.03,52363
LBBL,07/11/2022,324,325.1,310,314.9,-4.6,71293
LBBL,07/08/2022,349.2,349.2,330,330.1,-4.6,36211
LBBL,07/07/2022,360,368,343,346,-2.54,37061
LBBL,07/06/2022,349,358,335,355,0.85,62733
LBBL,07/05/2022,353,370,345,352,-2.22,60796
LBBL,07/04/2022,370,382,350,360,-1.37,108253
LBBL,07/03/2022,345,374,345,365,3.96,42482
LBBL,07/01/2022,363,365,350.1,351.1,-2.47,33934
LBBL,6/30/2022,341,362,334.1,360,6.82,57773
LBBL,6/29/2022,311.2,341,311.2,337,6.31,57396
LBBL,6/28/2022,318.5,326.4,316,317,-2.46,17911
LBBL,6/27/2022,340,341.9,323.1,325,-3.27,41734
LBBL,6/26/2022,313,337.5,310,336,9.45,69038
LBBL,6/24/2022,295,318,290.1,307,2.3,24343
LBBL,6/23/2022,310,310,299,300.1,-4.88,32068
LBBL,6/22/2022,320.5,322,313,315.5,-3.52,27519
LBBL,6/21/2022,309,334,308.7,327,3.81,29247
LBBL,6/20/2022,323.4,324,311.7,315,-4.55,46090
LBBL,6/19/2022,335,336,328,330,-2.68,18313
LBBL,6/17/2022,349,349,339.1,339.1,-1.71,4110
LBBL,6/16/2022,336,359,336,345,1.17,18099
LBBL,6/15/2022,341,351,333.3,341,-1.47,26860
LBBL,6/14/2022,356,357,344,346.1,-2.78,17469
LBBL,6/13/2022,347.9,362.1,347.9,356,0.28,9142
LBBL,06/10/2022,351.3,370,350,355,-0.28,17459
LBBL,06/09/2022,375,377,356,356,-4.3,37739
LBBL,06/08/2022,360,380,355,372,4.79,44612
LBBL,06/07/2022,370,373,355,355,-3.79,27063
LBBL,06/06/2022,375,377,367,369,-0.27,31528
LBBL,06/03/2022,375,379,362,370,-1.6,38573
LBBL,06/02/2022,380,384,372,376,-0.53,12850
LBBL,06/01/2022,375,379,371.7,378,1.1,13267
LBBL,5/31/2022,370.6,383,370,373.9,-0.19,26908
LBBL,5/30/2022,391,391,374.6,374.6,-3.95,44396
LBBL,5/27/2022,400,400,389,390,-1.27,11770
LBBL,5/26/2022,392,405,392,395,-1.25,7382
LBBL,5/25/2022,404,412,394.5,400,0.81,17849
